source,target,tgt_lng
"マナ加速アイテム","回蓝装备","zh-CN"
"マナ加速","回蓝","zh-CN"
"オムニヴァンプ","全能吸血","zh-CN"
"ヴァンプ","吸血","zh-CN"
"バリエーション","变阵","zh-CN"
"変体","变阵","zh-CN"
"フレックス","灵活变阵","zh-CN"
"ピボット","转阵","zh-CN"
"移行","转型","zh-CN"
"トランジション","转型","zh-CN"
"構成","阵容","zh-CN"
"コンプ","阵容","zh-CN"
"ボード","棋盘","zh-CN"
"コアボード","核心阵容","zh-CN"
"完成形","最终阵容","zh-CN"
"最終形","最终阵容","zh-CN"
"序盤の盤面","前期阵容","zh-CN"
"オーグメント","强化符文","zh-CN"
"オーグメント選択","强化符文选择","zh-CN"
"クレスト","之徽","zh-CN"
"クラウン","之冕","zh-CN"
"サークレット","之环","zh-CN"
"紋章","纹章","zh-CN"
"アイテム","装备","zh-CN"
"完成アイテム","合成装备","zh-CN"
"素材","散件","zh-CN"
"素材アイテム","散件","zh-CN"
"アイテムホルダー","装备携带者","zh-CN"
"アイテム構成","装备选择","zh-CN"
"ベストインスロット","最佳装备","zh-CN"
"BIS","最佳装备","zh-CN"
"レベル","等级","zh-CN"
"レベルアップ","升级","zh-CN"
"レベリング","升级节奏","zh-CN"
"ロール","D牌","zh-CN"
"リロール","D牌","zh-CN"
"スローロール","慢D牌","zh-CN"
"ファストロール","快速D牌","zh-CN"
"ドンキーロール","梭哈D牌","zh-CN"
"ロールダウン","大搜","zh-CN"
"安定化","稳住战力","zh-CN"
"上限","上限","zh-CN"
"最大上限","最大上限","zh-CN"
"テンポ","节奏","zh-CN"
"パワースパイク","战力强势期","zh-CN"
"序盤","前期","zh-CN"
"中盤","中期","zh-CN"
"終盤","后期","zh-CN"
"ステージ","阶段","zh-CN"
"ステージ2","2阶段","zh-CN"
"ステージ3","3阶段","zh-CN"
"ステージ4","4阶段","zh-CN"
"ステージ5","5阶段","zh-CN"
"ドラフト","选秀","zh-CN"
